model,acc,precision,recall,F1,epochs,seed
static patience,0.6783216783216783,0.6620145631067962,0.6370073891625616,0.6393640350877193,199,95822412
static patience,0.6923076923076923,0.679368932038835,0.6516830870279147,0.6550438596491228,126,24942603
static patience,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,270,13356886
static patience,0.6923076923076923,0.6767676767676767,0.6580459770114943,0.6617204301075269,157,46913810
static patience,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,220,42868828
static patience,0.6993006993006993,0.6891025641025641,0.6574302134646962,0.6611187655001378,178,39958838
static patience,0.7062937062937062,0.6967233009708738,0.6663587848932676,0.6707236842105263,131,28728463
static patience,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,383,23756669
static patience,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,245,83197857
static patience,0.6923076923076923,0.6868591473286563,0.6421387520525452,0.6433106575963718,152,21668732
static patience,0.7062937062937062,0.6967233009708738,0.6663587848932676,0.6707236842105263,160,89254563
static patience,0.6993006993006993,0.6871114299378288,0.6606116584564861,0.6645939017073037,187,66629388
static patience,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,369,14265799
static patience,0.6923076923076923,0.6813283208020051,0.6485016420361248,0.6513741134751774,346,13999315
static patience,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,553,22575562
static patience,0.6923076923076923,0.6868591473286563,0.6421387520525452,0.6433106575963718,302,39345092
static patience,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,394,41227216
static patience,0.6853146853146853,0.6733809280979093,0.6395730706075533,0.6414842052482033,509,77827638
static patience,0.6993006993006993,0.6855813953488372,0.6637931034482758,0.6678550207961973,152,90801586
static patience,0.7062937062937062,0.6967233009708738,0.6663587848932676,0.6707236842105263,122,13561597
static patience,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,446,85329037
static patience,0.7062937062937062,0.70236240913811,0.659995894909688,0.6634917077543703,114,36687537
static patience,0.7202797202797203,0.7115747289014616,0.6842159277504105,0.6895353886235345,118,97226012
static patience,0.6853146853146853,0.671474358974359,0.6427545155993432,0.6453568476164233,360,83140807
static patience,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,166,66306997
static patience,0.6713286713286714,0.6538461538461539,0.6280788177339901,0.6295949297327088,214,39587039
static patience,0.6923076923076923,0.6813283208020051,0.6485016420361248,0.6513741134751774,405,70291817
static patience,0.6993006993006993,0.6855813953488372,0.6637931034482758,0.6678550207961973,152,89089901
static patience,0.7132867132867133,0.704208512673362,0.6752873563218391,0.6801941853488245,124,47338124
static patience,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,208,10872248
dynamic patience 1,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,272,95822412
dynamic patience 1,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,191,24942603
dynamic patience 1,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,268,13356886
dynamic patience 1,0.6853146853146853,0.671474358974359,0.6427545155993432,0.6453568476164233,197,46913810
dynamic patience 1,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,329,42868828
dynamic patience 1,0.6923076923076923,0.6905968468468469,0.6389573070607554,0.6388888888888888,424,39958838
dynamic patience 1,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,458,28728463
dynamic patience 1,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,462,23756669
dynamic patience 1,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,341,83197857
dynamic patience 1,0.6713286713286714,0.6551504334523202,0.6248973727422003,0.6255501699259012,295,21668732
dynamic patience 1,0.6923076923076923,0.6868591473286563,0.6421387520525452,0.6433106575963718,353,89254563
dynamic patience 1,0.6853146853146853,0.671474358974359,0.6427545155993432,0.6453568476164233,295,66629388
dynamic patience 1,0.6643356643356644,0.6466770508826584,0.6159688013136289,0.6154190945764231,323,14265799
dynamic patience 1,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,225,13999315
dynamic patience 1,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,255,22575562
dynamic patience 1,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,382,39345092
dynamic patience 1,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,354,41227216
dynamic patience 1,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,254,77827638
dynamic patience 1,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,371,90801586
dynamic patience 1,0.6923076923076923,0.6905968468468469,0.6389573070607554,0.6388888888888888,471,13561597
dynamic patience 1,0.6853146853146853,0.6733809280979093,0.6395730706075533,0.6414842052482033,241,85329037
dynamic patience 1,0.6713286713286714,0.6551504334523202,0.6248973727422003,0.6255501699259012,274,36687537
dynamic patience 1,0.6853146853146853,0.671474358974359,0.6427545155993432,0.6453568476164233,216,97226012
dynamic patience 1,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,473,83140807
dynamic patience 1,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,318,66306997
dynamic patience 1,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,332,39587039
dynamic patience 1,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,288,70291817
dynamic patience 1,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,428,89089901
dynamic patience 1,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,472,47338124
dynamic patience 1,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,351,10872248
dynamic patience 5,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,271,95822412
dynamic patience 5,0.6993006993006993,0.6871114299378288,0.6606116584564861,0.6645939017073037,142,24942603
dynamic patience 5,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,406,13356886
dynamic patience 5,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,276,46913810
dynamic patience 5,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,312,42868828
dynamic patience 5,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,271,39958838
dynamic patience 5,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,284,28728463
dynamic patience 5,0.6993006993006993,0.6916114227434982,0.6542487684729064,0.6574182405705054,210,23756669
dynamic patience 5,0.7062937062937062,0.6992481203007519,0.6631773399014778,0.6672207446808511,131,83197857
dynamic patience 5,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,126,21668732
dynamic patience 5,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,291,89254563
dynamic patience 5,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,295,66629388
dynamic patience 5,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,461,14265799
dynamic patience 5,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,288,13999315
dynamic patience 5,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,276,22575562
dynamic patience 5,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,431,39345092
dynamic patience 5,0.6993006993006993,0.6916114227434982,0.6542487684729064,0.6574182405705054,191,41227216
dynamic patience 5,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,176,77827638
dynamic patience 5,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,256,90801586
dynamic patience 5,0.7062937062937062,0.6992481203007519,0.6631773399014778,0.6672207446808511,147,13561597
dynamic patience 5,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,226,85329037
dynamic patience 5,0.6713286713286714,0.6551504334523202,0.6248973727422003,0.6255501699259012,286,36687537
dynamic patience 5,0.6713286713286714,0.6538461538461539,0.6280788177339901,0.6295949297327088,316,97226012
dynamic patience 5,0.6643356643356644,0.6466770508826584,0.6159688013136289,0.6154190945764231,291,83140807
dynamic patience 5,0.6643356643356644,0.6454887218045113,0.6191502463054187,0.6196808510638298,371,66306997
dynamic patience 5,0.6783216783216783,0.6634085213032581,0.6338259441707718,0.6355274822695035,168,39587039
dynamic patience 5,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,279,70291817
dynamic patience 5,0.6853146853146853,0.6700143472022956,0.645935960591133,0.6489936180657829,251,89089901
dynamic patience 5,0.6993006993006993,0.6871114299378288,0.6606116584564861,0.6645939017073037,181,47338124
dynamic patience 5,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,421,10872248
dynamic patience 10,0.7062937062937062,0.6947194719471947,0.6695402298850575,0.6740121580547112,171,95822412
dynamic patience 10,0.6713286713286714,0.6551504334523202,0.6248973727422003,0.6255501699259012,291,24942603
dynamic patience 10,0.6853146853146853,0.6824596774193548,0.6300287356321839,0.6283139837116618,144,13356886
dynamic patience 10,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,223,46913810
dynamic patience 10,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,351,42868828
dynamic patience 10,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,351,39958838
dynamic patience 10,0.6783216783216783,0.6634085213032581,0.6338259441707718,0.6355274822695035,261,28728463
dynamic patience 10,0.6993006993006993,0.6871114299378288,0.6606116584564861,0.6645939017073037,201,23756669
dynamic patience 10,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,301,83197857
dynamic patience 10,0.6713286713286714,0.6551504334523202,0.6248973727422003,0.6255501699259012,251,21668732
dynamic patience 10,0.6713286713286714,0.6551504334523202,0.6248973727422003,0.6255501699259012,311,89254563
dynamic patience 10,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,301,66629388
dynamic patience 10,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,213,14265799
dynamic patience 10,0.6853146853146853,0.671474358974359,0.6427545155993432,0.6453568476164233,221,13999315
dynamic patience 10,0.6923076923076923,0.6905968468468469,0.6389573070607554,0.6388888888888888,155,22575562
dynamic patience 10,0.7062937062937062,0.6967233009708738,0.6663587848932676,0.6707236842105263,181,39345092
dynamic patience 10,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,313,41227216
dynamic patience 10,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,235,77827638
dynamic patience 10,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,286,90801586
dynamic patience 10,0.6993006993006993,0.6891025641025641,0.6574302134646962,0.6611187655001378,181,13561597
dynamic patience 10,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,282,85329037
dynamic patience 10,0.7132867132867133,0.704208512673362,0.6752873563218391,0.6801941853488245,141,36687537
dynamic patience 10,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,294,97226012
dynamic patience 10,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,206,83140807
dynamic patience 10,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,221,66306997
dynamic patience 10,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,238,39587039
dynamic patience 10,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,241,70291817
dynamic patience 10,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,221,89089901
dynamic patience 10,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,222,47338124
dynamic patience 10,0.6923076923076923,0.6868591473286563,0.6421387520525452,0.6433106575963718,151,10872248
dynamic patience 20,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,463,95822412
dynamic patience 20,0.6993006993006993,0.6891025641025641,0.6574302134646962,0.6611187655001378,138,24942603
dynamic patience 20,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,204,13356886
dynamic patience 20,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,195,46913810
dynamic patience 20,0.7062937062937062,0.70236240913811,0.659995894909688,0.6634917077543703,217,42868828
dynamic patience 20,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,270,39958838
dynamic patience 20,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,341,28728463
dynamic patience 20,0.7062937062937062,0.6967233009708738,0.6663587848932676,0.6707236842105263,201,23756669
dynamic patience 20,0.6993006993006993,0.6984848484848485,0.6478858784893268,0.6492899104545714,188,83197857
dynamic patience 20,0.6853146853146853,0.6733809280979093,0.6395730706075533,0.6414842052482033,328,21668732
dynamic patience 20,0.6783216783216783,0.6704673423423424,0.6242816091954023,0.6224747474747474,140,89254563
dynamic patience 20,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,263,66629388
dynamic patience 20,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,201,14265799
dynamic patience 20,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,421,13999315
dynamic patience 20,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,360,22575562
dynamic patience 20,0.6993006993006993,0.6916114227434982,0.6542487684729064,0.6574182405705054,178,39345092
dynamic patience 20,0.6923076923076923,0.6905968468468469,0.6389573070607554,0.6388888888888888,244,41227216
dynamic patience 20,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,203,77827638
dynamic patience 20,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,163,90801586
dynamic patience 20,0.6993006993006993,0.6891025641025641,0.6574302134646962,0.6611187655001378,209,13561597
dynamic patience 20,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,421,85329037
dynamic patience 20,0.6713286713286714,0.6551504334523202,0.6248973727422003,0.6255501699259012,301,36687537
dynamic patience 20,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,341,97226012
dynamic patience 20,0.7062937062937062,0.6967233009708738,0.6663587848932676,0.6707236842105263,142,83140807
dynamic patience 20,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,384,66306997
dynamic patience 20,0.6923076923076923,0.6778642149929279,0.6548645320197044,0.6584889274858879,223,39587039
dynamic patience 20,0.6923076923076923,0.6838006230529594,0.645320197044335,0.6474675033617212,221,70291817
dynamic patience 20,0.6923076923076923,0.6813283208020051,0.6485016420361248,0.6513741134751774,168,89089901
dynamic patience 20,0.6993006993006993,0.6916114227434982,0.6542487684729064,0.6574182405705054,136,47338124
dynamic patience 20,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,281,10872248
