model,R2,RMSE,epochs,seed
static patience,0.6977348327636719,2.4895706176757812,510,95822412
static patience,0.6143237352371216,2.8121719360351562,560,24942603
static patience,0.642467737197876,2.7076218128204346,373,13356886
static patience,0.6548588275909424,2.6602888107299805,718,46913810
static patience,0.6621532440185547,2.632026433944702,258,42868828
static patience,0.6749036312103271,2.5818824768066406,564,39958838
static patience,0.6773152351379395,2.5722885131835938,1199,28728463
static patience,0.7086591720581055,2.4441683292388916,333,23756669
static patience,0.6495867967605591,2.680529832839966,495,83197857
static patience,0.7127847671508789,2.4268009662628174,377,21668732
static patience,0.6638468503952026,2.6254212856292725,814,89254563
static patience,0.6293997764587402,2.7566604614257812,297,66629388
static patience,0.6086357235908508,2.8328332901000977,376,14265799
static patience,0.6554794907569885,2.657895803451538,526,13999315
static patience,0.6052685976028442,2.8449933528900146,455,22575562
static patience,0.6928799152374268,2.5094845294952393,518,39345092
static patience,0.683381199836731,2.5479962825775146,863,41227216
static patience,0.6649335622787476,2.6211740970611572,251,77827638
static patience,0.6884242296218872,2.527622699737549,297,90801586
static patience,0.6533929109573364,2.6659324169158936,408,13561597
static patience,0.7058830261230469,2.4557855129241943,377,85329037
static patience,0.644952654838562,2.6981964111328125,318,36687537
static patience,0.6876775622367859,2.5306496620178223,553,97226012
static patience,0.6726949214935303,2.5906381607055664,383,83140807
static patience,0.6540586948394775,2.6633708477020264,590,66306997
static patience,0.6560235023498535,2.6557962894439697,325,39587039
static patience,0.6270686388015747,2.7653167247772217,598,70291817
static patience,0.6875362396240234,2.531221866607666,386,89089901
static patience,0.6956876516342163,2.4979872703552246,1374,47338124
static patience,0.6516589522361755,2.6725924015045166,821,10872248
dynamic patience 1,0.6321656703948975,2.746354341506958,635,95822412
dynamic patience 1,0.6414419412612915,2.711503267288208,648,24942603
dynamic patience 1,0.6532210111618042,2.666593313217163,584,13356886
dynamic patience 1,0.6712089776992798,2.5965123176574707,637,46913810
dynamic patience 1,0.6831187009811401,2.5490522384643555,863,42868828
dynamic patience 1,0.6283679008483887,2.760495185852051,525,39958838
dynamic patience 1,0.6332556009292603,2.7422821521759033,707,28728463
dynamic patience 1,0.6644986867904663,2.6228747367858887,768,23756669
dynamic patience 1,0.7023857831954956,2.4703428745269775,801,83197857
dynamic patience 1,0.6436163187026978,2.7032692432403564,676,21668732
dynamic patience 1,0.6762378811836243,2.5765788555145264,668,89254563
dynamic patience 1,0.6535905003547668,2.6651723384857178,970,66629388
dynamic patience 1,0.6753300428390503,2.580188751220703,886,14265799
dynamic patience 1,0.6610558032989502,2.6362979412078857,613,13999315
dynamic patience 1,0.7000999450683594,2.479811429977417,1046,22575562
dynamic patience 1,0.7000734210014343,2.4799211025238037,630,39345092
dynamic patience 1,0.7045468091964722,2.461357593536377,917,41227216
dynamic patience 1,0.6418195962905884,2.7100751399993896,700,77827638
dynamic patience 1,0.6580377817153931,2.6480093002319336,1079,90801586
